tienda,nombre_original,marca,nombre_pelicula,formato,exposiciones
La Peliculera,Carrete Eastman Kodak Ektapan 3200,Kodak,T-Max 3200,35mm,36
La Peliculera,Carrete Eastman Kodak Ektapan 400,Kodak,T-Max 400,35mm,36
La Peliculera,Carrete Eastman Kodak Ektapan 100,Kodak,T-Max 100,35mm,36
La Peliculera,Carrete Eastman Kodak TRI-X,Kodak,Tri-X 400,35mm,36
La Peliculera,Carrete Eastman Kodak Ektacolor Pro 800,Kodak,Portra 800,35mm,36
La Peliculera,Carrete Eastman Kodak Ektacolor Pro 400,Kodak,Portra 400,35mm,36
La Peliculera,Carrete Eastman Kodak Ektacolor Pro 160,Kodak,Portra 160,35mm,36
La Peliculera,Carrete Eastman Kodak Ultramax 400,Kodak,Ultramax 400,35mm,36
La Peliculera,Carrete Eastman Kodak Gold 200,Kodak,Gold 200,35mm,36
La Peliculera,Carrete Dubblefilm Bubblegum 200 36 exp,Dubblefilm,Bubblegum 200,35mm,36
La Peliculera,Carrete Kodacolor 100,Kodak,Kodacolor 100,35mm,36
La Peliculera,Carrete Dubblefilm Pacific 200 120,Dubblefilm,Pacific 200,120,
La Peliculera,Carrete Dubblefilm Bubblegum 200 120,Dubblefilm,Bubblegum 200,120,
La Peliculera,Carrete Kodacolor 200,Kodak,Kodacolor 200,35mm,36
La Peliculera,Carrete Dubblefilm Apollo 200 120,Dubblefilm,Apollo 200,120,
La Peliculera,Carrete Lucky Color C200 35mm,Lucky,Lucky Color C200,35mm,36
La Peliculera,Carrete Kentmere 400 35mm 36 exp,Kentmere,Kentmere 400,35mm,36
La Peliculera,Carrete Harman Phoenix II 200 120,Harman,Phoenix II 200,120,
La Peliculera,Carrete Harman Phoenix II 200 35mm 36 exp,Harman,Phoenix II 200,35mm,36
La Peliculera,Carrete Flic Film Street Candy ATM400,Flic Film,Street Candy ATM 400,35mm,36
La Peliculera,Carrete Flic Film Street Candy Street Savvy,Flic Film,Street Savvy 400,35mm,36
La Peliculera,Carrete Flic Film Psychedelic Street 400 35mm,Flic Film,Psychedelic Street 400,35mm,36
La Peliculera,Carrete 8hundred 800 36 exp,8hundred,8hundred 800,35mm,36
La Peliculera,Carrete Dubblefilm Stereo 400 36 exp,Dubblefilm,Stereo 400,35mm,36
La Peliculera,Carrete 4hundred 400 36 exp,4hundred,4hundred 400,35mm,36
La Peliculera,Carrete Kodak Ultramax 400 24 exp,Kodak,Ultramax 400,35mm,24
La Peliculera,Carrete Dubblefilm Cinema 800 36exp,Dubblefilm,Cinema 800,35mm,36
La Peliculera,Carrete Fujifilm 400 36 exp Pack 3,Fujifilm,Fujicolor X400,35mm,36
La Peliculera,Carrete CineStill 400D 35mm,Cinestill,400D,35mm,36
La Peliculera,Carrete Kodak Colorplus 200 35mm 36 exp,Kodak,ColorPlus 200,35mm,36
La Peliculera,Carrete CineStill 800T 35mm,Cinestill,800T,35mm,36
La Peliculera,Carrete Revolog 600nm 400 36 exp,Revolog,600nm 400,35mm,36
La Peliculera,Carrete Revolog 460nm 400 36 exp,Revolog,460nm 400,35mm,36
La Peliculera,Carrete Revolog 600nm 200 120,Revolog,600nm 200,120,
La Peliculera,Carrete Revolog 460nm 200 120,Revolog,460nm 200,120,
La Peliculera,Carrete Reto Aqua 400 27 exp,Reto,Aqua 400,35mm,27
La Peliculera,Carrete Kodak Gold 200 35mm Pack2 24 exp,Kodak,Gold 200,35mm,24
La Peliculera,Carrete Kodak Portra 400 120,Kodak,Portra 400,120,
La Peliculera,Carrete Kodak Ektar 100 35mm 36 exp,Kodak,Ektar 100,35mm,36
La Peliculera,Carrete Kodak Portra 800 35mm 36 exp,Kodak,Portra 800,35mm,36
La Peliculera,Carrete Kodak Pro Image 100 35mm 36 exp,Kodak,Pro Image 100,35mm,36
La Peliculera,Carrete Kodak Portra 400 35mm 36 exp,Kodak,Portra 400,35mm,36
La Peliculera,Carrete kodak Portra 160 35mm 36 exp,Kodak,Portra 160,35mm,36
La Peliculera,Carrete Kodak T-Max 100 120,Kodak,T-Max 100,120,
La Peliculera,Carrete kodak T-Max 400 120,Kodak,T-Max 400,120,
La Peliculera,Carrete Kodak Tri-X 400 120,Kodak,Tri-X 400,120,
La Peliculera,Carrete kodak T-Max 100 35mm 36 exp,Kodak,T-Max 100,35mm,36
La Peliculera,Carrete Kodak T-Max 400 35mm 36 exp,Kodak,T-Max 400,35mm,36
La Peliculera,Carrete Kodak Tri-X 400 35mm 36 exp,Kodak,Tri-X 400,35mm,36
La Peliculera,Carrete Kodak T-Max 3200 35mm 36 exp,Kodak,T-Max 3200,35mm,36
La Peliculera,Carrete Kodak Gold 200 35mm 36 exp,Kodak,Gold 200,35mm,36
La Peliculera,Carrete Kodak Gold 200 35mm Pack3 36 exp,Kodak,Gold 200,35mm,36
La Peliculera,Carrete Kodak Ultramax 400 36 exp,Kodak,Ultramax 400,35mm,36
La Peliculera,Carrete Kodak Ultramax 400 35mm Pack3 36 exp,Kodak,Ultramax 400,35mm,36
La Peliculera,Carrete Kodak Ektar 100 120,Kodak,Ektar 100,120,
La Peliculera,Carrete Kodak Portra 160 120,Kodak,Portra 160,120,
La Peliculera,Carrete Kodak Gold 200 120,Kodak,Gold 200,120,
La Peliculera,Carrete Kodak Portra 800 120,Kodak,Portra 800,120,
La Peliculera,Carrete Ilford Delta 100 120,Ilford,Delta 100,120,
La Peliculera,Carrete Ilford XP2 400 120,Ilford,XP2 Super,120,
La Peliculera,Carrete Ilford DELTA 400 120,Ilford,Delta 400,120,
La Peliculera,Carrete Ilford PANF 50 120,Ilford,Pan F Plus,120,
La Peliculera,Carrete Ilford HP5 PLUS 400 35mm 36 exp,Ilford,HP5 Plus,35mm,36
La Peliculera,Carrete Ilford Delta 3200 120,Ilford,Delta 3200,120,
La Peliculera,Carrete Ilford FP4 125 120,Ilford,FP4 Plus,120,
La Peliculera,Carrete Ilford DELTA 400 35mm 36 exp,Ilford,Delta 400,35mm,36
La Peliculera,Carrete Ilford PANF PLUS 50 35mm 36 exp,Ilford,Pan F Plus,35mm,36
La Peliculera,Carrete Ilford DELTA 100 35mm 36 exp,Ilford,Delta 100,35mm,36
La Peliculera,Carrete Ilford XP2 400 35mm 36 exp,Ilford,XP2 Super,35mm,36
La Peliculera,Carrete Ilford DELTA 3200 35mm 36 exp,Ilford,Delta 3200,35mm,36
La Peliculera,Carrete Ilford FP4 PLUS 125 35mm 36 exp,Ilford,FP4 Plus,35mm,36
La Peliculera,Carrete Fujifilm 400 36 exp,Fujifilm,Fujicolor X400,35mm,36
La Peliculera,Carrete Fujifilm 200 36 exp,Fujifilm,Fujicolor 200,35mm,36
La Peliculera,Carrete Fomapan 100 35mm 36 exp,Foma,Fomapan 100,35mm,36
La Peliculera,Carrete Fomapan 200 35mm 36 exp,Foma,Fomapan 200,35mm,36
La Peliculera,Carrete Fomapan 400 35mm 36 exp,Foma,Fomapan 400,35mm,36
La Peliculera,Carrete Fomapan 100 120,Foma,Fomapan 100,120,
La Peliculera,Carrete Lomography Fantome 8 36 exp,Lomography,Fantome 8,35mm,36
La Peliculera,Carrete Lomography CN 800 35mm Pack 36 exp,Lomography,Color Negative 800,35mm,36
La Peliculera,Carrete Lomography CN 800 120 Pack,Lomography,Color Negative 800,120,
La Peliculera,Carrete Lomography CN 400 35mm Pack 36 exp,Lomography,Color Negative 400,35mm,36
La Peliculera,Carrete Lomography Berlin 400 35mm 36 exp,Lomography,Berlin 400,35mm,36
La Peliculera,Carrete Lomography Lady Grey 400 35mm Pack 36 exp,Lomography,Lady Grey 400,35mm,36
La Peliculera,Carrete Lomography Lomochrome Purple 100-400 120,Lomography,LomoChrome Purple,120,
La Peliculera,Carrete Lomography Lomochrome Color’92 400 120,Lomography,LomoChrome Color 92,120,
La Peliculera,Carrete Lomography CN 400 120 Pack,Lomography,Color Negative 400,120,
La Peliculera,Carrete Lomography Berlin 400 120,Lomography,Berlin 400,120,
La Peliculera,Carrete Lomography Lady Grey 400 120 Pack,Lomography,Lady Grey 400,120,
La Peliculera,Carrete Lomography CN 100 35mm Pack 36 exp,Lomography,Color Negative 100,35mm,36
La Peliculera,Carrete Lomography Metropolis 100-400 35mm 36 exp,Lomography,LomoChrome Metropolis,35mm,36
La Peliculera,Carrete Lomography Lomochrome Metropolis 100-400 120,Lomography,LomoChrome Metropolis,120,
La Peliculera,Carrete Lomography Babylon 13 35mm 36 exp,Lomography,Babylon 13,35mm,36
La Peliculera,Carrete Lomography Redscale 50-200 35mm Pack 36 exp,Lomography,Redscale 50-200,35mm,36
La Peliculera,Carrete Lomography Turquoise 35mm,Lomography,Turquoise 100-400,35mm,36
La Peliculera,Carrete Lomography Postdam 100 35mm 36 exp,Lomography,Potsdam 100,35mm,36
La Peliculera,Carrete Lomography Earl Grey 100 35mm Pack 36 exp,Lomography,Earl Grey 100,35mm,36
La Peliculera,Carrete Lomography Earl Grey 100 120 Pack,Lomography,Earl Grey 100,120,
La Peliculera,Carrete Lomography Redscale 50-200 120,Lomography,Redscale 50-200,120,
La Peliculera,Carrete Lomography Lomochrome Turquoise 100-400 120,Lomography,Turquoise 100-400,120,
La Peliculera,Carrete Lomography CN 100 120 Pack,Lomography,Color Negative 100,120,
La Peliculera,Carrete Lomography Potsdam 100 120,Lomography,Potsdam 100,120,
La Peliculera,Carrete Dubblefilm Solar 400 36 exp,Dubblefilm,Solar 400,35mm,36
La Peliculera,Carrete Dubblefilm Jelly 400 36 exp,Dubblefilm,Jelly 400,35mm,36
La Peliculera,Carrete Dubblefilm Apollo 400 36 exp,Dubblefilm,Apollo 400,35mm,36
La Peliculera,Carrete Dubblefilm Pacific 400 36 exp,Dubblefilm,Pacific 400,35mm,36
La Peliculera,Carrete Dubblefilm Bubblegum 400 36 exp,Dubblefilm,Bubblegum 400,35mm,36
La Peliculera,Carrete Dubblefilm Treat 400 36 exp0,Dubblefilm,Treat 400,35mm,36
La Peliculera,Carrete CineStill XX 120,Cinestill,XX,120,
La Peliculera,Carrete CineStill XX 35mm 36 exp,Cinestill,XX,35mm,36
La Peliculera,Carrete CineStill 800T 120,Cinestill,800T,120,
La Peliculera,Carrete CineStill 50D 120,Cinestill,50D,120,
La Peliculera,Carrete CineStill 400D 120,Cinestill,400D,120,
La Peliculera,Carrete CineStill 50D 35mm 36 exp,Cinestill,50D,35mm,36
La Peliculera,Carrete Candido 200 35mm 36 exp,Candido,Candido 200,35mm,36
La Peliculera,Carrete Candido 400 35mm 36 exp,Candido,Candido 400,35mm,36
La Peliculera,Carrete Candido 800 35mm 36 exp,Candido,Candido 800,35mm,36
La Peliculera,Carrete CDX Blanco y negro 35mm 36 exp,CDX,CDX Blanco y Negro,35mm,36
La Peliculera,Carrete Amber D100 35mm 27 exp,Reto,Amber D100,35mm,27
La Peliculera,Carrete 1hundred 100 36 exp,1hundred,1hundred 100,35mm,36
